Item,Content,UCMer,Other,term,iter,n,s
23,Relationship between summary statistics and statistical significance,0.43,0.59,Fall 2020,post-test,47,0.85
11,Interpreting variation in a heatmap,0.53,0.76,Fall 2020,post-test,47,0.85
12,Interpreting trend in a heatmap,0.55,0.68,Fall 2020,post-test,47,0.85
17,Interpeting interaction effects from a plot,0.57,0.56,Fall 2020,post-test,47,0.85
18,Interpeting interaction effects from a plot,0.55,0.65,Fall 2020,post-test,47,0.85
19,Interpreting relationships between variables from a lineplot,0.57,0.7,Fall 2020,post-test,47,0.85
20,Interpreting relationships between variables from a lineplot,0.7,0.82,Fall 2020,post-test,47,0.85
21,Interpreting trend in a choropleth map,0.47,0.5,Fall 2020,post-test,47,0.85
22,Interpreting variation in a choropleth map,0.34,0.64,Fall 2020,post-test,47,0.85
26,"Understanding relationship between data, RQ, and plot",0.53,0.47,Fall 2020,post-test,47,0.85
27,"Understanding relationship between data, RQ, and plot",0.34,0.36,Fall 2020,post-test,47,0.85
28,"Understanding relationship between data, RQ, and plot",0.55,0.64,Fall 2020,post-test,47,0.85
29,"Understanding relationship between data, RQ, and plot",0.23,0.31,Fall 2020,post-test,47,0.85
1,Compute probability from a two-way table,0.82,0.85,Spring 2021,pre-test,50,0.74
3,Understanding variation in log-transformed measurements,0.6,0.6,Spring 2021,pre-test,50,0.74
10,Translating content to tabular summaries,0.38,0.46,Spring 2021,pre-test,50,0.74
13,Translating between two graphs of data,0.3,0.34,Spring 2021,pre-test,50,0.74
14,Interpeting plots of logarithms,0.28,0.4,Spring 2021,pre-test,50,0.74
15,Interpeting plots of logarithms,0.22,0.31,Spring 2021,pre-test,50,0.74
16,Predicting from a recursive model of population growth,0.24,0.37,Spring 2021,pre-test,50,0.74
24,Predicting from a genetic model,0.54,0.58,Spring 2021,pre-test,50,0.74
25,Graphing a non-linear function,0.18,0.27,Spring 2021,pre-test,50,0.74
2,Understanding variation in measurements,0.8,0.84,Spring 2021,pre-test,50,0.74
4,Relating sample size to uncertainty,0.68,0.79,Spring 2021,pre-test,50,0.74
5,Translating summary statistics to a distribution,0.74,0.77,Spring 2021,pre-test,50,0.74
6,Translating content to a statistical hypothesis,0.36,0.56,Spring 2021,pre-test,50,0.74
7,Understanding p-value,0.16,0.31,Spring 2021,pre-test,50,0.74
8,Understanding p-value,0.62,0.64,Spring 2021,pre-test,50,0.74
9,Understanding relationship between p-value and effect,0.42,0.47,Spring 2021,pre-test,50,0.74
23,Relationship between summary statistics and statistical significance,0.4,0.59,Spring 2021,pre-test,50,0.74
11,Interpreting variation in a heatmap,0.64,0.76,Spring 2021,pre-test,50,0.74
12,Interpreting trend in a heatmap,0.66,0.67,Spring 2021,pre-test,50,0.74
17,Interpeting interaction effects from a plot,0.5,0.55,Spring 2021,pre-test,50,0.74
18,Interpeting interaction effects from a plot,0.68,0.65,Spring 2021,pre-test,50,0.74
19,Interpreting relationships between variables from a lineplot,0.5,0.69,Spring 2021,pre-test,50,0.74
20,Interpreting relationships between variables from a lineplot,0.76,0.81,Spring 2021,pre-test,50,0.74
21,Interpreting trend in a choropleth map,0.3,0.49,Spring 2021,pre-test,50,0.74
22,Interpreting variation in a choropleth map,0.48,0.63,Spring 2021,pre-test,50,0.74
26,"Understanding relationship between data, RQ, and plot",0.52,0.47,Spring 2021,pre-test,50,0.74
27,"Understanding relationship between data, RQ, and plot",0.32,0.36,Spring 2021,pre-test,50,0.74
28,"Understanding relationship between data, RQ, and plot",0.58,0.64,Spring 2021,pre-test,50,0.74
29,"Understanding relationship between data, RQ, and plot",0.16,0.3,Spring 2021,pre-test,50,0.74
1,Compute probability from a two-way table,0.81,0.85,Spring 2021,post-test,42,0.74
3,Understanding variation in log-transformed measurements,0.48,0.6,Spring 2021,post-test,42,0.74
10,Translating content to tabular summaries,0.4,0.46,Spring 2021,post-test,42,0.74
13,Translating between two graphs of data,0.4,0.34,Spring 2021,post-test,42,0.74
14,Interpeting plots of logarithms,0.38,0.4,Spring 2021,post-test,42,0.74
15,Interpeting plots of logarithms,0.26,0.31,Spring 2021,post-test,42,0.74
16,Predicting from a recursive model of population growth,0.36,0.37,Spring 2021,post-test,42,0.74
24,Predicting from a genetic model,0.5,0.58,Spring 2021,post-test,42,0.74
25,Graphing a non-linear function,0.17,0.27,Spring 2021,post-test,42,0.74
2,Understanding variation in measurements,0.76,0.84,Spring 2021,post-test,42,0.74
4,Relating sample size to uncertainty,0.74,0.79,Spring 2021,post-test,42,0.74
5,Translating summary statistics to a distribution,0.83,0.77,Spring 2021,post-test,42,0.74
6,Translating content to a statistical hypothesis,0.36,0.56,Spring 2021,post-test,42,0.74
7,Understanding p-value,0.19,0.31,Spring 2021,post-test,42,0.74
8,Understanding p-value,0.6,0.64,Spring 2021,post-test,42,0.74
9,Understanding relationship between p-value and effect,0.4,0.47,Spring 2021,post-test,42,0.74
23,Relationship between summary statistics and statistical significance,0.43,0.59,Spring 2021,post-test,42,0.74
11,Interpreting variation in a heatmap,0.57,0.76,Spring 2021,post-test,42,0.74
12,Interpreting trend in a heatmap,0.57,0.67,Spring 2021,post-test,42,0.74
17,Interpeting interaction effects from a plot,0.5,0.55,Spring 2021,post-test,42,0.74
18,Interpeting interaction effects from a plot,0.5,0.65,Spring 2021,post-test,42,0.74
19,Interpreting relationships between variables from a lineplot,0.55,0.69,Spring 2021,post-test,42,0.74
20,Interpreting relationships between variables from a lineplot,0.86,0.81,Spring 2021,post-test,42,0.74
21,Interpreting trend in a choropleth map,0.45,0.49,Spring 2021,post-test,42,0.74
22,Interpreting variation in a choropleth map,0.48,0.63,Spring 2021,post-test,42,0.74
26,"Understanding relationship between data, RQ, and plot",0.67,0.47,Spring 2021,post-test,42,0.74
27,"Understanding relationship between data, RQ, and plot",0.31,0.36,Spring 2021,post-test,42,0.74
28,"Understanding relationship between data, RQ, and plot",0.6,0.64,Spring 2021,post-test,42,0.74
29,"Understanding relationship between data, RQ, and plot",0.26,0.3,Spring 2021,post-test,42,0.74
1,Compute probability from a two-way table,0.72,0.85,Fall 2021,pre-test,46,0.54
3,Understanding variation in log-transformed measurements,0.28,0.6,Fall 2021,pre-test,46,0.54
10,Translating content to tabular summaries,0.24,0.46,Fall 2021,pre-test,46,0.54
13,Translating between two graphs of data,0.28,0.34,Fall 2021,pre-test,46,0.54
14,Interpeting plots of logarithms,0.17,0.4,Fall 2021,pre-test,46,0.54
15,Interpeting plots of logarithms,0.15,0.31,Fall 2021,pre-test,46,0.54
16,Predicting from a recursive model of population growth,0.17,0.37,Fall 2021,pre-test,46,0.54
24,Predicting from a genetic model,0.48,0.58,Fall 2021,pre-test,46,0.54
25,Graphing a non-linear function,0.17,0.27,Fall 2021,pre-test,46,0.54
2,Understanding variation in measurements,0.78,0.84,Fall 2021,pre-test,46,0.54
4,Relating sample size to uncertainty,0.65,0.79,Fall 2021,pre-test,46,0.54
5,Translating summary statistics to a distribution,0.7,0.77,Fall 2021,pre-test,46,0.54
6,Translating content to a statistical hypothesis,0.24,0.56,Fall 2021,pre-test,46,0.54
7,Understanding p-value,0.15,0.31,Fall 2021,pre-test,46,0.54
8,Understanding p-value,0.54,0.64,Fall 2021,pre-test,46,0.54
9,Understanding relationship between p-value and effect,0.43,0.47,Fall 2021,pre-test,46,0.54
23,Relationship between summary statistics and statistical significance,0.41,0.59,Fall 2021,pre-test,46,0.54
11,Interpreting variation in a heatmap,0.67,0.76,Fall 2021,pre-test,46,0.54
12,Interpreting trend in a heatmap,0.52,0.67,Fall 2021,pre-test,46,0.54
17,Interpeting interaction effects from a plot,0.54,0.55,Fall 2021,pre-test,46,0.54
18,Interpeting interaction effects from a plot,0.57,0.65,Fall 2021,pre-test,46,0.54
19,Interpreting relationships between variables from a lineplot,0.5,0.69,Fall 2021,pre-test,46,0.54
20,Interpreting relationships between variables from a lineplot,0.8,0.81,Fall 2021,pre-test,46,0.54
21,Interpreting trend in a choropleth map,0.2,0.49,Fall 2021,pre-test,46,0.54
22,Interpreting variation in a choropleth map,0.24,0.63,Fall 2021,pre-test,46,0.54
26,"Understanding relationship between data, RQ, and plot",0.35,0.47,Fall 2021,pre-test,46,0.54
27,"Understanding relationship between data, RQ, and plot",0.15,0.36,Fall 2021,pre-test,46,0.54
28,"Understanding relationship between data, RQ, and plot",0.46,0.64,Fall 2021,pre-test,46,0.54
29,"Understanding relationship between data, RQ, and plot",0.17,0.3,Fall 2021,pre-test,46,0.54
1,Compute probability from a two-way table,0.58,0.85,Fall 2021,post-test,33,0.58
3,Understanding variation in log-transformed measurements,0.58,0.6,Fall 2021,post-test,33,0.58
10,Translating content to tabular summaries,0.21,0.46,Fall 2021,post-test,33,0.58
13,Translating between two graphs of data,0.33,0.34,Fall 2021,post-test,33,0.58
14,Interpeting plots of logarithms,0.09,0.4,Fall 2021,post-test,33,0.58
15,Interpeting plots of logarithms,0.15,0.31,Fall 2021,post-test,33,0.58
16,Predicting from a recursive model of population growth,0.12,0.37,Fall 2021,post-test,33,0.58
24,Predicting from a genetic model,0.45,0.58,Fall 2021,post-test,33,0.58
25,Graphing a non-linear function,0.18,0.27,Fall 2021,post-test,33,0.58
2,Understanding variation in measurements,0.64,0.84,Fall 2021,post-test,33,0.58
4,Relating sample size to uncertainty,0.45,0.79,Fall 2021,post-test,33,0.58
5,Translating summary statistics to a distribution,0.55,0.77,Fall 2021,post-test,33,0.58
6,Translating content to a statistical hypothesis,0.36,0.56,Fall 2021,post-test,33,0.58
7,Understanding p-value,0.21,0.31,Fall 2021,post-test,33,0.58
8,Understanding p-value,0.58,0.64,Fall 2021,post-test,33,0.58
9,Understanding relationship between p-value and effect,0.3,0.47,Fall 2021,post-test,33,0.58
23,Relationship between summary statistics and statistical significance,0.48,0.59,Fall 2021,post-test,33,0.58
11,Interpreting variation in a heatmap,0.52,0.76,Fall 2021,post-test,33,0.58
12,Interpreting trend in a heatmap,0.42,0.67,Fall 2021,post-test,33,0.58
17,Interpeting interaction effects from a plot,0.42,0.55,Fall 2021,post-test,33,0.58
18,Interpeting interaction effects from a plot,0.48,0.65,Fall 2021,post-test,33,0.58
19,Interpreting relationships between variables from a lineplot,0.39,0.69,Fall 2021,post-test,33,0.58
20,Interpreting relationships between variables from a lineplot,0.82,0.81,Fall 2021,post-test,33,0.58
21,Interpreting trend in a choropleth map,0.24,0.49,Fall 2021,post-test,33,0.58
22,Interpreting variation in a choropleth map,0.24,0.63,Fall 2021,post-test,33,0.58
26,"Understanding relationship between data, RQ, and plot",0.45,0.47,Fall 2021,post-test,33,0.58
27,"Understanding relationship between data, RQ, and plot",0.15,0.36,Fall 2021,post-test,33,0.58
28,"Understanding relationship between data, RQ, and plot",0.39,0.64,Fall 2021,post-test,33,0.58
29,"Understanding relationship between data, RQ, and plot",0.06,0.3,Fall 2021,post-test,33,0.58
